"","HBname","prop_deprived"
"1","Ayrshire and Arran",0.211155378486056
"2","Borders",0.048951048951049
"3","Dumfries and Galloway",0.0696517412935323
"4","Fife",0.153846153846154
"5","Forth Valley",0.110565110565111
"6","Grampian",0.0267022696929239
"7","Greater Glasgow and Clyde",0.294238683127572
"8","Highland",0.0755148741418764
"9","Lanarkshire",0.19248291571754
"10","Lothian",0.0692520775623269
"11","Orkney",0
"12","Shetland",0
"13","Tayside",0.136105860113422
"14","Western Isles",0
